compound,EC,ro,p_value,adjusted_p_value
Mesotrione,"2.5.1.47,2.5.1.49",0.7183518845462958,1.0356580830098337e-10,2.08045960951707e-09
Mesotrione,2.8.3.19,0.7126949130920966,1.6879849744200487e-10,3.1784533159325637e-09
Mesotrione,"1.2.1.3,1.2.1.32,1.2.1.85",0.6122922559606532,2.0069844607745528e-07,1.3423231855029792e-06
Mesotrione,1.14.15.3,0.7131682250930799,1.6211093908561382e-10,3.063144282209657e-09
Mesotrione,"6.2.1.26,6.2.1.3,6.2.1.34",0.39727222588312455,0.0016724434707424296,0.005065004673471406
Mesotrione,2.7.8.6,0.6765462236078794,2.9679746638421672e-09,4.390148311671936e-08
Mesotrione,3.4.13.21,0.6828272781756417,1.857091503027709e-09,2.8559166320928026e-08
Mesotrione,"6.3.1.5,6.3.5.1",0.6944754166397772,7.543946908727139e-10,1.2646643858944809e-08
Mesotrione,1.7.7.2,0.6150508295733768,1.707434456388377e-07,1.1575107257079291e-06
Mesotrione,2.7.7.33,0.6736392660851283,3.673102396560914e-09,5.3329486357722677e-08
Mesotrione,"2.1.1.63,3.2.2.21",0.4032772771026287,0.0013987023061822982,0.004315998489900743
Mesotrione,1.13.11.15,0.6759189958592168,3.1082970823130012e-09,4.5723502064521656e-08
Mesotrione,6.1.1.18,0.6556512800189926,1.304965543417422e-08,1.1633785929033249e-07
Mesotrione,"1.1.1.61,1.3.1.32",0.4020940928294842,0.0014492175720394074,0.004455472033019383
Mesotrione,3.1.2.23,0.7190661130408589,9.728942735351489e-11,1.9598352787651014e-09
Mesotrione,"2.7.1.219,2.7.1.220",0.6349168106858387,5.0842930947718223e-08,3.8818854770052045e-07
Mesotrione,2.7.1.39,0.633243941979012,5.6490567240157356e-08,4.2145872668904945e-07
Mesotrione,"5.1.1.20,5.1.1.3",0.6771916003428704,2.8298693917562346e-09,4.2014012999996555e-08
